Time,Angle
1716894005.697181,-9.576142609989274
1716894005.7036707,-9.577122696995726
1716894005.7109509,-9.595708239295012
1716894005.7132878,-9.63095407616859
1716894005.7254586,-9.646596376087663
1716894005.7333555,-9.64372438808856
1716894005.741588,-9.62336719534821
1716894005.7453527,-9.586497009797913
1716894005.755672,-9.534032286398098
1716894005.762235,-9.466840666938324
1716894005.7714436,-9.385741762687147
1716894005.7779539,-9.326657959907465
1716894005.786624,-9.288399993150762
1716894005.7916934,-9.269844212333123
1716894005.8019743,-9.269928999629574
1716894005.8050663,-9.287651382472712
1716894005.8168464,-9.286762558863556
1716894005.8209713,-9.268296305122186
1716894005.8324218,-9.268465724582514
1716894005.838883,-9.250999854240328
1716894005.8446722,-9.252114960919616
1716894005.8536189,-9.270811330208941
1716894005.8563883,-9.306144513198854
1716894005.865821,-9.35722230986083
1716894005.8732955,-9.387830953718826
1716894005.8784738,-9.43444252645488
1716894005.889386,-9.460829138152803
1716894005.8956702,-9.468114014346039
1716894005.9030943,-9.457358357036249
1716894005.910539,-9.429564740875726
1716894005.9173226,-9.385680323457514
1716894005.9228754,-9.361805719393669
1716894005.933462,-9.356862491263286
1716894005.9424727,-9.369831766518104
1716894005.9478717,-9.399750985587149
1716894005.9526994,-9.445710827984739
1716894005.963949,-9.506852306693792
1716894005.963949,-9.582364021628518
1716894005.9799025,-9.67147956348354
1716894005.9799025,-9.773475059752077
1716894005.9799025,-9.887666855145245
1716894005.9955359,-10.013409319069616
1716894005.9955359,-10.150092773221807
1716894006.0111635,-10.297141532738697
1716894006.026792,-10.454012054700913
1716894006.026792,-10.620191188126585
1716894006.0423005,-10.795194519913286
1716894006.0423005,-10.978564811489374
1716894006.057936,-11.16987052122273
1716894006.057936,-11.368704407905987
1716894006.073559,-11.538679150236755
1716894006.073559,-11.717348344805831
1716894006.0820649,-11.904263964612301
1716894006.089572,-12.099003202263123
1716894006.089572,-12.301167100474256
1716894006.105204,-12.474205572730284
1716894006.105204,-12.655855199620794
1716894006.1208284,-12.845674707851863
1716894006.1208284,-13.007014178877329
1716894006.1364534,-13.177633993438628
1716894006.1424584,-13.357057042975635
1716894006.1524637,-13.544833068116962
1716894006.1524637,-13.74053720144162
1716894006.1524637,-13.943768590282168
1716894006.168096,-14.154149095204911
1716894006.168096,-14.371322060041932
1716894006.1837215,-14.594951149575824
1716894006.1837215,-14.824719251191825
1716894006.1993456,-15.060327437014188
1716894006.1993456,-15.301493983234735
1716894006.214971,-15.511034406745873
1716894006.2168703,-15.72755845123686
1716894006.226877,-15.950722743943793
1716894006.2327926,-16.180203574774236
1716894006.2423103,-16.415695836266828
1716894006.2468178,-16.656912022022954
1716894006.2468178,-16.86634014533988
1716894006.2639925,-17.082917255351603
1716894006.2639925,-17.269053449756594
1716894006.2789068,-17.463612122142393
1716894006.2835991,-17.66617487688661
1716894006.2835991,-17.839020848754995
1716894006.299105,-17.98381691451884
1716894006.299105,-18.10213787878547
1716894006.314738,-18.19547152413148
1716894006.314738,-18.265223384585795
1716894006.314738,-18.312721257607375
1716894006.330364,-18.339219468873523
1716894006.34237,-18.382671589871066
1716894006.3463776,-18.44218824596076
1716894006.3463776,-18.516929563421886
1716894006.3620107,-18.569105635567645
1716894006.3620107,-18.599988680334274
1716894006.3776367,-18.61078048269885
1716894006.3776367,-18.602616259662238
1716894006.3776367,-18.613264398554797
1716894006.393262,-18.641733053337763
1716894006.393262,-18.650242473016867
1716894006.4088926,-18.676689343525165
1716894006.4088926,-18.72013051489969
1716894006.4245157,-18.77967527827353
1716894006.4245157,-18.81748567123638
1716894006.440138,-18.834788483458127
1716894006.4426463,-18.832742555449855
1716894006.4426463,-18.849211194204432
1716894006.4561527,-18.846376701344983
1716894006.4561527,-18.862099890203364
1716894006.47544,-18.895403699557693
1716894006.478784,-18.945365363387605
1716894006.4870584,-19.01111345679668
1716894006.4938474,-19.09182510394577
1716894006.502951,-19.149565479142357
1716894006.5102358,-19.18563079231958
1716894006.5180788,-19.2012454791389
1716894006.5271103,-19.23448517706092
1716894006.5349443,-19.284425581689998
1716894006.538108,-19.350193828885896
1716894006.5495923,-19.430965697791198
1716894006.5495923,-19.525962967316843
1716894006.5495923,-19.634450917715338
1716894006.5681257,-19.755735969329766
1716894006.5738292,-19.851661030800937
1716894006.5831244,-19.92365669137103
1716894006.5871437,-20.010400650793134
1716894006.5998979,-20.111130568873435
1716894006.6067243,-20.225126773452665
1716894006.6134326,-20.351709945930814
1716894006.619749,-20.490238933979175
1716894006.6292634,-20.640108684511155
1716894006.6331806,-20.800748290363472
1716894006.6450632,-20.971619144498653
1716894006.6530874,-21.152213195879746
1716894006.655644,-21.342051301489445
1716894006.6625123,-21.540681669269745
1716894006.6720407,-21.747678387045653
1716894006.6782336,-21.962640032768206
1716894006.6839185,-22.18518836166915
1716894006.6934972,-22.414967066162717
1716894006.6987827,-22.651640604559894
1716894006.709177,-22.855915931084766
1716894006.7147584,-23.06848049425807
1716894006.7147584,-23.288942172823518
1716894006.7256305,-23.516931629024153
1716894006.7359064,-23.752101094355815
1716894006.743066,-23.994123222916976
1716894006.7466094,-24.242690008715755
1716894006.7571847,-24.49751176349724
1716894006.7606528,-24.75831615184579
1716894006.7676587,-25.024847280498246
1716894006.7783463,-25.296864838975615
1716894006.7849407,-25.574143288803374
1716894006.7904246,-25.816127968395474
1716894006.7998617,-26.065015593531875
1716894006.8055687,-26.32050485330488
1716894006.814078,-26.58231263158316
1716894006.8224812,-26.850173058733258
1716894006.8265388,-27.083021112523294
1716894006.8368738,-27.32350519442868
1716894006.8431227,-27.571289215235083
1716894006.8479254,-27.826057327566375
1716894006.8534346,-28.08751287187217
1716894006.8641455,-28.31405634334847
1716894006.867967,-28.507681764355528
1716894006.8745384,-28.711252410126708
1716894006.8837533,-28.924309720506862
1716894006.8870084,-29.146422181022288
1716894006.895686,-29.377183901570195
1716894006.903113,-29.616213275367485
1716894006.9090598,-29.86315171391418
1716894006.9170775,-30.117662453968936
1716894006.9170775,-30.379429432763917
1716894006.9313881,-30.648156227904323
1716894006.9383755,-30.880918344073137
1716894006.9434173,-31.12222612376843
1716894006.9494586,-31.329068365133185
1716894006.9494586,-31.54587344482442
1716894006.9645553,-31.77219939117625
1716894006.9705613,-32.00763091072814
1716894006.979545,-32.251778012043154
1716894006.9810493,-32.50427470880159
1716894006.99187,-32.76477779808849
1716894006.995407,-33.03296571003655
1716894007.0031252,-33.2645625036873
1716894007.0111437,-33.50542457800862
1716894007.0162902,-33.75516450168605
1716894007.0239532,-34.01341910018549
1716894007.0291023,-34.27984824037479
1716894007.0365484,-34.509415641190536
1716894007.045359,-34.704262134829264
1716894007.045359,-34.86640831826569
1716894007.0598028,-34.997761238006014
1716894007.0664828,-35.143860294055074
1716894007.0702019,-35.304018388122714
1716894007.0775583,-35.43337276778939
1716894007.0863786,-35.53372678277281
1716894007.0919604,-35.6505218059338
1716894007.0996778,-35.78297807149365
1716894007.1065178,-35.9303615214263
1716894007.109092,-36.0475174895953
1716894007.1196988,-36.13622089396228
1716894007.1254036,-36.19814653457389
1716894007.1304107,-36.23487467288327
1716894007.141519,-36.291406396646565
1716894007.1465564,-36.36677512190395
1716894007.1549258,-36.46007008142031
1716894007.1627278,-36.570433378246335
1716894007.1673956,-36.65259327824244
1716894007.1734784,-36.752430327352585
1716894007.1841724,-36.82463950451918
1716894007.1874018,-36.870853593470784
1716894007.1944163,-36.89261303124109
1716894007.2051082,-36.89137106259732
1716894007.2079084,-36.91200870327464
1716894007.2180321,-36.95344586225614
1716894007.226567,-37.01466447127271
1716894007.2331874,-37.05048890378151
1716894007.237522,-37.10640166336768
1716894007.2443724,-37.18142664018616
1716894007.2489004,-37.274644278165496
1716894007.258671,-37.38518859967007
1716894007.2649512,-37.51224439912866
1716894007.2741427,-37.60979788227264
1716894007.2808142,-37.72457312028727
1716894007.2850478,-37.855764198914834
1716894007.2911806,-38.00261295872167
1716894007.30118,-38.16440652878218
1716894007.30118,-38.34047500349201
1716894007.3133059,-38.483795892671715
1716894007.3185441,-38.64240168435107
1716894007.328233,-38.815608029125755
1716894007.3330786,-38.95607191997911
1716894007.3376076,-39.112128276306585
1716894007.3441901,-39.23637985806618
1716894007.354439,-39.37711031683047
1716894007.360185,-39.53357434463473
1716894007.365238,-39.65805563011989
1716894007.375057,-39.75245851491221
1716894007.3785133,-39.86497226071666
1716894007.3868027,-39.99476233048749
1716894007.3953416,-40.141044319670094
1716894007.3989773,-40.2557400894919
1716894007.4078555,-40.34073680559651
1716894007.4118836,-40.44451434525926
1716894007.4186254,-40.566206045082716
1716894007.4291508,-40.70499732352358
1716894007.4312503,-40.86012303814292
1716894007.440323,-41.030865000308225
1716894007.44435,-41.16817382872864
1716894007.4544008,-41.32207304682829
1716894007.4615111,-41.49183582295998
1716894007.4657714,-41.62803875103467
1716894007.4717803,-41.781072785652604
1716894007.4788406,-41.95020353224275
1716894007.486235,-42.13474261126673
1716894007.4932005,-42.284536383115665
1716894007.4932005,-42.45079574070381
1716894007.5079505,-42.632818279555025
1716894007.5145757,-42.78003524860303
1716894007.5194013,-42.944056545654774
1716894007.525493,-43.07425649471919
1716894007.535768,-43.222191181061085
1716894007.5391705,-43.38709525338341
1716894007.5467198,-43.517925412462176
1716894007.5534644,-43.61674895625098
1716894007.559319,-43.73502274910918
1716894007.5680332,-43.82197644873517
1716894007.572202,-43.9290293837453
1716894007.581869,-44.05528692339355
1716894007.589156,-44.14958355738904
1716894007.5927715,-44.26378224955883
1716894007.6001089,-44.34667935618803
1716894007.6105068,-44.45010179263298
1716894007.6137125,-44.573138397962
1716894007.6212459,-44.714934941365144
1716894007.629376,-44.87469138053939
1716894007.6376767,-45.00000044894488
1716894007.6451857,-45.14417086940778
1716894007.6530962,-45.25474608806945
1716894007.6611462,-45.38498823523216
1716894007.6651776,-45.48239671196976
1716894007.675055,-45.54899236776051
1716894007.68065,-45.58667807844596
1716894007.691911,-45.59724556751725
1716894007.7015903,-45.63229302399694
1716894007.7108068,-45.69069306628168
1716894007.7175016,-45.77138706480219
1716894007.7248933,-45.822182110112614
1716894007.734151,-45.84493111213696
1716894007.7409484,-45.84137856034626
1716894007.7494817,-45.81316679724959
1716894007.756583,-45.81135096629331
1716894007.7640836,-45.7847809684412
1716894007.771429,-45.78451713885716
1716894007.773453,-45.75941428636426
1716894007.7814581,-45.760537385647396
1716894007.792078,-45.78665682640749
1716894007.796964,-45.7862904338806
1716894007.8068705,-45.81100182111979
1716894007.8135643,-45.809304360704914
1716894007.8205936,-45.78284626145908
1716894007.8240988,-45.78268821240065
1716894007.8346796,-45.75768535686008
1716894007.8367002,-45.70939394505292
1716894007.8456607,-45.68839846954235
1716894007.8540072,-45.693404374076756
1716894007.857552,-45.723194326865375
1716894007.868284,-45.72629776032245
1716894007.8707883,-45.70437806503054
1716894007.8773098,-45.70851028170143
1716894007.8880546,-45.73747431570075
1716894007.8922768,-45.73979698765822
1716894007.8999598,-45.76705041419542
1716894007.9057927,-45.81808256682225
1716894007.9092975,-45.89181151665654
1716894007.920195,-45.93602232883458
1716894007.925814,-46.003302896494745
1716894007.9308186,-46.09261753712859
1716894007.9415176,-46.20299507662756
1716894007.9477935,-46.28139150382168
1716894007.9527035,-46.38144778557862
1716894007.9629016,-46.50222152016066
1716894007.9692607,-46.64283060718714
1716894007.9761128,-46.749313179071166
1716894007.9834025,-46.87641247583262
1716894007.9873338,-46.97012390817665
1716894007.9959183,-47.085150330233894
1716894008.0005445,-47.22058624719588
1716894008.0072145,-47.32191858631905
1716894008.0158756,-47.44440914731382
1716894008.0216832,-47.53350392062664
1716894008.0277202,-47.64442600738697
1716894008.0373502,-47.72258481531362
1716894008.0425904,-47.77003159070863
1716894008.0480325,-47.841322886011525
1716894008.0587626,-47.93541490379953
1716894008.0617895,-48.05133073441341
1716894008.070755,-48.188157286368835
1716894008.0782325,-48.34504243528206
1716894008.0861793,-48.52119238511226
1716894008.0928335,-48.71586923667931
1716894008.0966883,-48.928388759649856
1716894008.106338,-49.15811836552077
1716894008.1147778,-49.404475280597936
1716894008.117428,-49.66692491960645
1716894008.1260967,-49.94497946242247
1716894008.1331446,-50.23819663854497
1716894008.1389022,-50.546178726402026
1716894008.146999,-50.86857177750434
1716894008.1562064,-51.20506507894145
1716894008.1602452,-51.55539087192049
1716894008.1718047,-51.85433218978805
1716894008.176369,-52.169159162077655
1716894008.1806922,-52.434542565008265
1716894008.1866996,-52.71764640866867
1716894008.1976018,-52.95304115193687
1716894008.2040756,-53.20779597243314
1716894008.2080824,-53.41639168155283
1716894008.2186306,-53.58185521422854
1716894008.221794,-53.7699991528367
1716894008.2293706,-53.98008661670846
1716894008.2343018,-54.21144932604913
1716894008.2415595,-54.397400405557065
1716894008.2506602,-54.60594639260565
1716894008.2506602,-54.83641435854636
1716894008.261361,-55.0209571621024
1716894008.2720761,-55.162648224371395
1716894008.2720761,-55.32935412026297
